country,continent,economic_status,coastal_population,waste_generation_rate(kg/person/day),%_plastic_in_waste_stream,%_Inadequately_managed_waste,%_littered_waste,waste_generation(kg/day),plastic_waste_generation(kg/day),inadequately_managed_plastic_waste(kg/day),plastic_waste_littered(kg/day),mismanaged_plastic_waste(kg/person/day),mismanaged_plastic_waste_in_2010(tonnes),mismanaged_plastic_waste_in_2025(tonnes)
Albania,Europe,LMI,2530533,0.77,9,45,2,1948510,174392,77897,3488,0.032,29705,63051
Algeria,Africa,UMI,16556580,1.2,12,58,2,19867896,2374214,1378693,47484,0.086,520555,1017444
Angola,Africa,LMI,3790041,0.48,13,71,2,1819220,235589,166597,4712,0.045,62528,136770
Anguilla,North America,HIC,14561,2.1,12,2,2,30578,3654,68,73,0.01,52,73
Antigua & Barbuda,North America,HIC,66843,5.5,12,6,2,367637,43933,2555,879,0.051,1253,1385
Argentina,South America,UMI,16449245,1.22,15,12,2,20068079,3000178,372261,60004,0.026,157777,320197
Aruba,North America,HIC,137910,2.1,12,1,2,289611,34609,326,692,0.007,372,476
Australia,Oceania,HIC,17235954,2.23,5,0,2,38436177,1902591,0,38052,0.002,13889,24653
Bahamas,North America,HIC,341145,3.25,12,1,2,1108721,132492,1002,2650,0.011,1333,1718
Bahrain,Asia,HIC,743574,1.1,12,10,2,817931,97743,10033,1955,0.016,4376,9915
Bangladesh,Asia,LI,70874124,0.43,8,87,2,30475873,2422832,2108603,48457,0.03,787327,2210230
Barbados,North America,HIC,276784,4.75,12,4,2,1314724,157110,6400,3142,0.034,3483,3719
Belgium,Europe,HIC,4747957,1.33,6,0,2,6314783,375730,0,7515,0.002,2743,5739
Belize,North America,UMI,202429,2.87,6,29,2,580971,34568,9972,691,0.053,3892,6042
Benin,Africa,LI,3235418,0.54,8,83,2,1747126,138896,115073,2778,0.036,43015,119467
Bermuda,North America,HIC,66966,2.1,12,0,2,140629,16805,0,336,0.005,123,173
Bosnia and Herzegovina,Europe,UMI,585582,1.2,12,40,2,702698,83972,33813,1679,0.061,12955,20201
Brazil,South America,UMI,74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,471404,954198
British Virgin Islands,North America,HIC,29674,2.1,12,0,2,62315,7447,3,149,0.005,55,78
Brunei,Asia,HIC,359871,0.87,3,1,2,313088,9236,71,185,0.001,93,341
Bulgaria,Europe,UMI,1002695,1.28,12,31,2,1283450,153372,48273,3067,0.051,18739,25770
Burma/Myanmar,Asia,LI,18988522,0.44,17,87,2,8354950,1416164,1227208,28323,0.066,458269,1149267
Cambodia,Asia,LI,1391254,0.6,11,87,2,834752,91405,79502,1828,0.058,29686,62834
Cameroon,Africa,LMI,1986723,0.77,6,81,2,1529777,91022,74107,1820,0.038,27713,71863
Canada,North America,HIC,11846863,2.33,4,0,2,27603191,1090326,0,21807,0.002,7959,14668
Cape Verde,Africa,LMI,522245,0.5,13,74,2,261123,33815,24933,676,0.049,9347,18475
Cayman Islands,North America,HIC,51864,2.1,12,0,2,108914,13015,0,260,0.005,95,134
Channel Islands,Europe,HIC,153352,2.1,12,0,2,322039,38484,0,770,0.005,281,355
Chile,South America,UMI,5621550,1.08,11,7,2,6071274,664805,46304,13296,0.011,21754,42562
China,Asia,UMI,262892387,1.1,11,74,2,289181626,31665388,23530300,633308,0.092,8819717,17814777
Christmas Island,Oceania,HIC,1402,2.1,12,0,2,2944,352,0,7,0.005,3,4
Cocos Islands,North America,HIC,596,2.1,12,0,2,1252,150,0,3,0.005,1,2
Colombia,South America,UMI,7498563,1.2,12,21,2,8998276,1075294,231024,21506,0.034,92173,179973
Comoros,Africa,LI,938595,2.23,9,83,2,2093067,187329,155246,3747,0.169,58032,100870
Congo Rep of,Africa,LMI,847807,0.53,13,77,2,449338,58189,44769,1164,0.054,16766,39853
"Congo, Dem rep. of",Africa,LI,1076056,0.5,9,85,2,538028,48154,40703,963,0.039,15208,43480
Cook Islands,Oceania,UMI,20934,1.2,12,36,2,25121,3002,1079,60,0.054,416,784
Costa Rica,North America,UMI,2479298,1.36,19,16,2,3371845,638965,102536,12779,0.047,42090,75895
Cote d'Ivoire,Africa,LMI,6230583,0.79,13,82,2,4922161,637420,520288,12748,0.086,194558,537163
Croatia,Europe,HIC,1602782,2.1,12,9,2,3365842,402218,37053,8044,0.028,16461,19593
Cuba,North America,UMI,11333471,0.81,11,23,2,9180112,1005222,228196,20104,0.022,90630,180454
Curacao,North America,HIC,143784,2.1,12,0,2,301946,36083,12,722,0.005,268,378
Cyprus,Europe,HIC,840556,2.07,12,0,2,1739951,207924,831,4158,0.006,1821,2611
Denmark,Europe,HIC,5376386,2.34,2,0,2,12580743,245324,0,4906,0.001,1791,4233
Dhekelia,Europe,HIC,15700,2.1,12,0,2,32970,3940,2,79,0.005,30,42
Djibouti,Africa,LMI,621744,0.79,13,73,2,491178,63608,46191,1272,0.076,17324,45612
Dominica,North America,UMI,70138,1.24,12,19,2,86971,10393,1938,208,0.031,783,1428
Dominican Republic,North America,UMI,8232586,1.2,12,25,2,9879103,1180553,300295,23611,0.039,118226,228671
East Timor,Asia,LMI,668749,0.79,13,81,2,528312,68416,55316,1368,0.085,20690,64205
Ecuador,South America,LMI,6400048,1.13,13,30,2,7232054,936551,280948,18731,0.047,109383,211021
Egypt,Africa,LMI,21750943,1.37,13,67,2,29798792,3858944,2572170,77179,0.122,967012,1937428
El Salvador,North America,LMI,6410726,1.13,13,33,2,7244120,938114,306531,18762,0.051,118732,226860
Equatorial Guinea,Africa,UMI,351600,1.2,12,30,2,421920,50419,15367,1008,0.047,5977,14124
Eritrea,Africa,LI,1266222,0.5,9,77,2,633111,56663,43411,1133,0.035,16259,43484
Estonia,Europe,HIC,878021,1.47,12,9,2,1290691,154238,13296,3085,0.019,5979,8367
Falkland Islands,South America,HIC,2602,2.1,12,0,2,5464,653,0,13,0.005,5,7
Faroe Islands,Europe,HIC,50554,2.1,12,0,2,106163,12687,0,254,0.005,93,131
Fiji,Oceania,UMI,896145,2.1,9,78,2,1881905,168430,131582,3369,0.151,49257,70995
